Id       RAdeg    DEdeg    z      logM500caustic errlogM500caustic N   logM500veldisp errlogM500veldisp n   Telescope texp  logLX errlogLX logLXce errlogLCce
CL1001   208.256  5.134    0.079  14.30          0.11              171 14.57           0.09              124 Swift     31.0  43.87  0.01     43.79   0.01
CL1009   198.057 -0.974   0.085  14.00          0.26              236 14.28           0.12              56  Chandra   20.9  43.38  0.01     43.24   0.02
CL1011   227.107 -0.266   0.091  14.23          0.17              48  14.46           0.14              42  Swift     13.7  42.96  0.05     42.77   0.07
CL1014   175.299  5.735    0.098  14.40          0.09              120 14.40           0.16              51  Swift     12.0  43.47  0.03     43.31   0.04
CL1015   182.570  5.386    0.077  13.85          0.19              79  14.14           0.15              37  Swift     17.3  43.65  0.01     43.55   0.01
CL1018   214.398  2.053    0.054  13.68          0.24              123 14.27           0.10              79  Swift     9.7   42.83  0.04     42.73   0.05
CL1020   176.028  5.798    0.103  13.94          0.35              29  14.61           0.14              43  Swift     6.8   43.74  0.02     43.61   0.03
CL1022   199.821 -0.919   0.083  13.86          0.12              87  13.56           0.16              36  XMM       31.2  42.55  0.10     42.55   0.10
CL1030   206.165  2.860    0.078  14.16          0.09              86  14.12           0.21              41  Swift     13.1  42.75  0.06     42.54   0.09
CL1033   167.747  1.128    0.097  13.83          0.12              77  13.79           0.21              20  Swift     9.0   43.15  0.04     43.05   0.05
CL1038   179.379  5.098    0.076  14.21          0.09              95  14.28           0.13              54  Swift     8.7   43.43  0.03     43.37   0.03
CL1039   228.809  4.386    0.098  14.32          0.16              76  14.63           0.13              68  XMM       11.0  43.52  0.02     43.42   0.02
CL1041   194.673 -1.761   0.084  14.31          0.09              370 14.58           0.11              153 Chandra   38.2  44.39  0.01     44.17   0.01
CL1047   229.184 -0.969   0.118  14.01          0.23              121 13.81           0.23              28  Swift     8.8   43.71  0.03     43.63   0.04
CL1052   195.719 -2.516   0.083  14.31          0.09              262 14.57           0.10              96  XMM       49.5  43.65  0.01     43.39   0.01
CL1067   212.022  5.418    0.088  13.92          0.38              57  14.29           0.14              42  Swift     10.9  43.33  0.04     43.25   0.04
CL1073   170.726  1.114    0.074  14.20          0.09              149 14.15           0.12              63  Chandra   21.7  43.17  0.03     43.10   0.03
CL1120   188.611  4.056    0.085  14.02          0.09              50  14.33           0.21              25  Swift     10.9  42.63  0.09     42.50   0.11
CL1132   195.143 -2.134   0.085  13.79          0.24              42  13.70           0.17              27  Swift     9.6   42.34  0.10     42.04   0.15
CL1209   149.161 -0.358   0.087  14.03          0.09              115 14.29           0.15              43  XMM       49.4  42.54  0.02     42.23   0.03
CL3000   163.402  54.870   0.072  14.58          0.09              180 14.18           0.15              59  Swift     8.8   43.51  0.03     43.35   0.05
CL3009   136.977  52.790   0.099  13.89          0.09              72  13.39           0.24              17  Swift     8.4   42.97  0.05     42.70   0.08
CL3013   173.311  66.380   0.115  14.28          0.13              148 14.29           0.12              111 Swift     9.7   44.05  0.01     43.89   0.02
CL3020   232.311  52.860   0.073  14.12          0.14              81  14.18           0.18              53  Swift     7.3   43.30  0.04     43.20   0.04
CL3023   122.535  35.280   0.084  14.05          0.09              173 14.31           0.17              44  Swift     9.6   43.08  0.04     42.88   0.05
CL3030   126.371  47.130   0.127  14.52          0.15              364 14.67           0.07              156 Swift     16.5  44.05  0.01     43.93   0.02
CL3046   164.599  56.790   0.135  14.62          0.09              172 14.63           0.15              104 Swift     9.0   44.46  0.01     44.37   0.01
CL3049   203.264  60.120   0.072  13.63          0.10              49  13.86           0.23              32  Swift     12.3  43.09  0.03     42.97   0.03
CL3053   160.254  58.290   0.073  13.52          0.27              99  13.63           0.20              31  Swift     14.4  42.61  0.08     42.48   0.07
